City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rocha,-34.4833,-54.3333,56.89,98,87,6.11,UY,1666472351
Dewas,22.9667,76.0667,62.78,55,0,2.57,IN,1666472345
Charlottesville,38.0293,-78.4767,73.42,35,30,1.99,US,1666472156
Torbay,47.6666,-52.7314,54.75,78,20,10.36,CA,1666472352
Hastings,50.8552,0.5729,62.29,92,100,10.04,GB,1666472218
San Vicente,-26.6167,-54.1333,68.74,71,6,6.02,AR,1666472352
Rzhishchëv,49.9689,31.0463,47.79,90,100,10.25,UA,1666472353
Tando Jam,25.4272,68.5362,80.89,25,0,7.83,PK,1666472353
Beringovskiy,63.05,179.3167,28.18,85,100,9.22,RU,1666472354
Grindavik,63.8424,-22.4338,39.67,87,100,9.22,IS,1666472242
Tasiilaq,65.6145,-37.6368,28.38,97,100,13.22,GL,1666472347
Palana,59.1167,159.9667,19.45,74,97,4.38,RU,1666472354
Waiuku,-37.25,174.75,63.09,43,0,2.3,NZ,1666472355
City of San Pedro,14.35,121.0167,80.31,86,20,3.44,PH,1666472355
Asău,46.4333,26.4,52.72,62,100,5.48,RO,1666472356
Catuday,16.2923,119.8062,79.21,82,100,4.45,PH,1666472356
Najrān,17.4924,44.1277,68.65,19,2,3.36,SA,1666472181
Dakar,14.6937,-17.4441,82.53,83,0,2.3,SN,1666472357
Santa Isabel Rio Negro,-0.4139,-65.0192,84.87,68,99,4.68,BR,1666472358
Nicoya,10.1483,-85.452,82.62,78,93,3.2,CR,1666472358
Morondava,-20.2833,44.2833,77.4,80,3,10.04,MG,1666472359
Mossamedes,-15.1961,12.1522,69.17,81,41,2.06,AO,1666472359
Laiyang,36.9758,120.7136,49.12,68,0,4.36,CN,1666472359
Urusha,54.05,122.9,23.22,82,14,3.4,RU,1666472360
Tartous,34.889,35.8866,73.09,54,0,5.19,SY,1666472361
San Patricio,28.017,-97.5169,88.54,46,0,19.01,US,1666472073
Maragogi,-9.0122,-35.2225,76.98,82,21,9.98,BR,1666472361
Dothan,31.2232,-85.3905,77.85,31,0,1.99,US,1666472119
Tirumullaivāsal,11.2333,79.8333,78.94,82,100,7.58,IN,1666472362
Dahuk,36.8695,42.994,62.62,68,98,4.29,IQ,1666472362
Waddān,29.1614,16.139,67.05,51,0,12.39,LY,1666472362
Arman',59.7,150.1667,14.68,65,100,8.5,RU,1666472363
Ushumun,52.7833,126.5333,25.05,80,5,6.6,RU,1666472363
Vestmannaeyjar,63.4427,-20.2734,43.66,81,100,17.72,IS,1666472364
Mitzic,0.7821,11.549,69.98,98,100,3.06,GA,1666472364
Bengkulu,-3.8004,102.2655,76.37,82,100,3.42,ID,1666472365
Bulawayo,-20.15,28.5833,72.12,32,8,14.18,ZW,1666472365
Sitka,57.0531,-135.33,47.97,65,5,1.12,US,1666472366
Kanepi,57.982,26.7627,39.2,91,100,4.65,EE,1666472366
Nehoiu,45.4167,26.3,56.5,52,100,3.74,RO,1666472367
Bartica,6.4,-58.6167,84.52,87,94,4.12,GY,1666472367
Maşyāf,35.0653,36.3406,63.88,48,0,3.91,SY,1666472368
Río Gallegos,-51.6226,-69.2181,60.85,25,40,6.91,AR,1666472368
Sambava,-14.2667,50.1667,69.84,91,50,7.29,MG,1666472369
Berlevåg,70.8578,29.0864,35.6,80,75,12.66,NO,1666472369
Neftçala,39.3742,49.2472,59.65,77,100,14.25,AZ,1666472369
Todos Santos,23.45,-110.2167,91.31,76,71,10.85,MX,1666472370
Caravelas,-17.7125,-39.2481,76.23,81,100,10.87,BR,1666472370
Salinópolis,-0.6136,-47.3561,81.64,77,10,14.23,BR,1666472371
Vostok,46.4856,135.8833,23.95,90,80,2.91,RU,1666472371
Campbell River,50.0163,-125.2446,57.6,38,20,9.22,CA,1666472127
Pisco,-13.7,-76.2167,69.85,60,0,13.8,PE,1666472372
Graciano Sánchez,23.9167,-99.2833,83.25,55,35,7.4,MX,1666472372
Nogliki,51.8333,143.1667,28.33,66,46,7.4,RU,1666472372
St. George's,12.0564,-61.7485,87.48,70,20,16.11,GD,1666472279
Kungurtug,50.5994,97.5228,31.95,59,40,2.98,RU,1666472373
Bonthe,7.5264,-12.505,78.15,85,65,4.68,SL,1666472374
Bereda,43.2686,-7.5406,58.41,88,99,8.21,ES,1666472374
Lakatoro,-16.0999,167.4164,78.64,81,100,13.8,VU,1666472375
Puerto Cabezas,14.0351,-83.3888,84.16,79,75,13.8,NI,1666472375
Aquiraz,-3.9014,-38.3911,82.49,77,79,13.89,BR,1666472376
Château-Thierry,49.05,3.4,63.0,85,100,6.71,FR,1666472376
Provideniya,64.3833,-173.3,32.02,98,100,5.46,RU,1666472377
Aktau,43.65,51.2,49.23,60,61,3.31,KZ,1666472377
Marawi,7.9986,124.2928,68.49,95,100,0.18,PH,1666472377
Ürümqi,43.801,87.6005,43.75,71,0,2.24,CN,1666472378
Dibulla,11.2725,-73.3091,82.54,81,77,6.08,CO,1666472378
Nyurba,63.2842,118.3319,16.36,98,90,3.2,RU,1666472379
Itō,34.9667,139.0833,60.67,87,35,6.96,JP,1666472379
Hearst,49.6835,-83.6665,48.45,95,100,3.09,CA,1666472380
Ugoofaaru,5.6667,73.0,80.85,82,99,14.2,MV,1666472381
Turukhansk,65.8167,87.9833,25.07,94,100,11.23,RU,1666472381
Esim,4.8699,-2.2405,78.03,86,100,5.99,GH,1666472382
Dalvik,65.9702,-18.5286,24.73,69,76,8.7,IS,1666472382
Jega,12.2175,4.3792,82.42,28,3,5.7,NG,1666472382
Itoman,26.1247,127.6694,78.82,89,100,13.8,JP,1666472383
Vilhena,-12.7406,-60.1458,84.42,61,75,8.05,BR,1666472140
Tarakan,3.3,117.6333,79.23,82,100,4.85,ID,1666472383
Pochutla,15.7432,-96.4661,87.82,75,80,4.38,MX,1666472384
Coyhaique,-45.5752,-72.0662,60.75,20,0,10.36,CL,1666472384
Rebrikha,53.0733,82.3408,59.22,36,100,24.87,RU,1666472384
Kiryat Gat,31.61,34.7642,70.48,100,0,4.92,IL,1666472385
Barcelos,41.5388,-8.6151,60.94,81,99,15.01,PT,1666472269
Tabat,-2.635,115.2274,72.63,98,38,1.19,ID,1666472385
Vila Franca do Campo,37.7167,-25.4333,64.81,76,78,16.87,PT,1666472386
Slonim,53.0867,25.3219,46.63,88,100,4.23,BY,1666472386
Opuwo,-18.0607,13.84,77.02,35,65,3.15,NA,1666472386
Pingliang,35.5392,106.6861,51.08,71,92,1.7,CN,1666472387
Kerman,30.2832,57.0788,53.46,26,0,6.91,IR,1666472388
Pasil,17.3833,121.1333,65.77,97,100,0.89,PH,1666472388
Cascais,38.6979,-9.4215,65.93,94,100,21.0,PT,1666472330
Paamiut,61.994,-49.6678,36.95,94,100,23.26,GL,1666472389
Saint-François,46.4154,3.9054,59.68,94,0,3.44,FR,1666472389
Srednekolymsk,67.45,153.6833,4.51,94,100,11.16,RU,1666472389
Farnes,61.3167,7.8,37.45,95,57,1.16,NO,1666472390
Krasnoborsk,61.5598,45.934,30.13,80,52,8.55,RU,1666472390
Amga,60.8953,131.9608,16.68,98,99,0.83,RU,1666472391
Walvis Bay,-22.9575,14.5053,59.09,94,5,8.05,NA,1666472391
Kitovo,56.8659,41.2825,37.11,95,92,5.41,RU,1666472391
Tekkali,18.6167,84.2333,72.41,71,68,6.26,IN,1666472392
Oliveira dos Brejinhos,-12.3169,-42.8961,81.81,47,92,4.72,BR,1666472392
Davenda,53.5556,119.317,18.18,94,8,3.29,RU,1666472393
Riyadh,24.6877,46.7219,77.14,16,0,5.68,SA,1666472148
Zelenets,61.8849,50.7489,26.85,85,41,7.7,RU,1666472393
Haftoni,38.7632,48.7622,55.11,100,100,5.75,AZ,1666472394
Ano Mera,37.45,25.4,60.87,67,0,10.63,GR,1666472394
Provost,52.3501,-110.2683,43.25,48,51,9.31,CA,1666472394
Narsaq,60.9167,-46.05,35.06,95,100,5.55,GL,1666472395
Rawson,-43.3002,-65.1023,76.78,15,13,14.81,AR,1666472395
Kontagora,10.3999,5.4695,76.78,43,21,2.82,NG,1666472395
Along,28.1667,94.7667,62.8,56,50,2.26,IN,1666472396
Nikel,69.4128,30.222,33.98,97,100,9.62,RU,1666472396
Isangel,-19.55,169.2667,75.56,75,100,21.92,VU,1666472397
Altagracia de Orituco,9.8601,-66.3814,79.11,83,71,4.0,VE,1666472398
Muzhi,65.3667,64.6667,31.53,74,83,17.2,RU,1666472398
Ponta Delgada,37.7333,-25.6667,65.12,68,20,10.36,PT,1666472399
Contrecoeur,45.8501,-73.2325,68.0,40,5,6.91,CA,1666472400
Swakopmund,-22.6833,14.5333,58.98,84,31,1.99,NA,1666472400
Ozernovskiy,51.5,156.5167,36.95,77,98,4.07,RU,1666472329
Kendari,-3.945,122.4989,74.75,94,100,3.6,ID,1666472401
Clarence Town,-32.5833,151.7833,65.95,98,100,2.17,AU,1666472401
Raja,8.4596,25.678,70.99,91,100,1.03,SS,1666472402
Pustoshka,56.3355,29.369,36.7,93,83,4.85,RU,1666472402
Verín,41.9415,-7.4381,57.56,86,100,9.55,ES,1666472407
Broken Hill,-31.95,141.4333,64.62,71,100,4.07,AU,1666472408
Durban,-29.8579,31.0292,66.92,91,99,4.0,ZA,1666472296
Flin Flon,54.7682,-101.865,41.7,45,16,2.44,CA,1666472409
Marrakesh,31.6315,-8.0083,73.47,43,40,4.61,MA,1666472409
Cikampek,-6.4197,107.4558,76.17,91,100,3.89,ID,1666472410
Antofagasta,-23.65,-70.4,62.26,71,10,6.24,CL,1666472406
Bolama,11.5833,-15.4667,78.66,85,94,8.3,GW,1666472411
Ixtapa,20.7,-105.2,82.22,84,100,1.01,MX,1666472412
Paraná,-31.732,-60.5238,66.56,51,3,10.18,AR,1666472157
Keïta,14.7551,5.7749,82.29,17,1,5.61,NE,1666472413
Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,86,20,11.18,RU,1666472414
Sechura,-5.5569,-80.8222,73.02,60,86,13.8,PE,1666472414
Moranbah,-22.0016,148.0466,73.22,65,0,1.03,AU,1666472415
Airai,-8.9266,125.4092,61.41,81,68,1.43,TL,1666472416
Laas,46.6166,10.7002,48.36,85,12,1.63,IT,1666472417
Olinda,-8.0089,-34.8553,78.17,78,36,14.97,BR,1666472417
Mardin,37.3131,40.7436,57.49,71,37,2.13,TR,1666472418
Bay Roberts,47.5999,-53.2648,55.51,83,0,1.01,CA,1666472419
Tagusao,9.1924,117.8141,79.65,84,64,2.01,PH,1666472420
Goma,-1.6792,29.2228,63.43,83,92,4.27,CD,1666472420
Cartagena del Chairá,1.3349,-74.8429,81.82,74,81,1.59,CO,1666472421
Aginskoye,51.1,114.53,26.74,78,11,3.78,RU,1666472421
Iguguno,-4.5697,34.6275,69.22,40,11,11.32,TZ,1666472422
La Ronge,55.1001,-105.2842,40.03,57,94,3.38,CA,1666472422
Mitchell,43.7094,-98.0298,77.74,13,49,8.59,US,1666472423
Klyuchi,52.2667,79.1667,54.88,60,100,26.4,RU,1666472423
Kuytun,54.3419,101.5036,32.59,88,83,7.43,RU,1666472424
Acapulco de Juárez,16.8634,-99.8901,83.66,72,91,5.97,MX,1666472425
Bilibino,68.0546,166.4372,4.87,98,100,1.54,RU,1666472327
Coria,39.9879,-6.5377,62.46,90,100,6.89,ES,1666472425
Hongjiang,27.11,109.9956,65.44,42,93,3.36,CN,1666472427
Belyy Yar,53.6039,91.3903,37.29,93,100,4.47,RU,1666472428
Toowoomba,-27.55,151.9667,57.25,97,100,4.79,AU,1666472381
Brae,60.3964,-1.353,51.4,93,58,13.33,GB,1666472429
Cayenne,4.9333,-52.3333,84.24,74,56,9.22,GF,1666472409
Lismore,-28.8135,153.2773,65.93,99,100,7.09,AU,1666472430
Sinjār,36.3209,41.8754,65.26,65,67,6.73,IQ,1666472430
Terbuny,52.1389,38.2789,39.52,75,99,7.65,RU,1666472431
Timrå,62.487,17.3257,34.68,93,99,2.3,SE,1666472431
Mahibadhoo,3.7833,72.9667,79.48,85,100,17.56,MV,1666472247
Necochea,-38.5473,-58.7368,49.71,51,0,9.31,AR,1666472383
Kétou,7.3633,2.5998,76.39,90,95,4.56,BJ,1666472432
Santo Augusto,-27.8508,-53.7772,67.86,75,55,8.52,BR,1666472433
Balkanabat,39.5108,54.3671,56.84,64,98,1.97,TM,1666472371
Monywa,22.1167,95.1333,77.38,79,98,6.33,MM,1666472434
Acarí,-15.4311,-74.6158,75.0,52,0,8.77,PE,1666472434
Tarko-Sale,64.9225,77.785,28.98,90,100,16.64,RU,1666472435
The Valley,18.217,-63.0578,84.81,72,1,10.69,AI,1666472436
Jalu,29.0331,21.5482,68.49,46,0,8.37,LY,1666472436
College,64.8569,-147.8028,33.08,96,100,4.61,US,1666472437
Salemi,37.8231,12.8056,65.03,93,56,4.54,IT,1666472438
Almendralejo,38.6832,-6.4075,64.4,79,70,14.05,ES,1666472438
Mirabela,-16.2628,-44.1644,73.89,53,86,2.95,BR,1666472439
Poum,-20.2333,164.0167,76.12,83,100,29.77,NC,1666472439
Kurya,51.6003,82.2888,60.67,30,99,28.7,RU,1666472440
Bukama,-9.2,25.85,74.32,73,100,3.33,CD,1666472440
Empangeni,-28.762,31.8933,64.11,88,100,9.6,ZA,1666472442
Coahuayana Viejo,18.7333,-103.6833,79.25,83,100,2.93,MX,1666472442
Luwuk,-0.9516,122.7875,77.52,83,100,3.29,ID,1666472443
Lumeje,-11.55,20.7833,66.0,86,100,3.96,AO,1666472443
Diamantino,-14.4086,-56.4461,78.51,76,100,2.86,BR,1666472444
Bethel,41.3712,-73.414,65.35,51,32,2.73,US,1666472444
Vizinga,61.0749,50.1031,28.26,85,34,6.82,RU,1666472445
Iskateley,67.6803,53.1512,31.15,96,96,11.88,RU,1666472445
Omboué,-1.5746,9.2618,77.04,90,85,6.29,GA,1666472446
Buchanan,5.8808,-10.0467,78.06,86,100,7.92,LR,1666472446
Kaeo,-35.1,173.7833,62.33,74,2,8.59,NZ,1666472446
Mocuba,-16.8392,36.9856,72.79,82,6,3.91,MZ,1666472447
Hūn,29.1268,15.9477,67.53,47,0,10.76,LY,1666472447
Kikwit,-5.041,18.8162,71.17,95,100,1.16,CD,1666472448
Winder,33.9926,-83.7202,74.79,33,0,0.0,US,1666472448
Klintsy,52.7602,32.2393,44.38,82,100,10.83,RU,1666472449
Zhangye,38.9342,100.4517,45.82,32,28,2.66,CN,1666472449
Kawalu,-7.3817,108.2082,72.43,94,100,2.48,ID,1666472450
Taltal,-25.4,-70.4833,63.84,62,23,4.25,CL,1666472420
Vitim,59.4511,112.5578,30.79,95,98,7.67,RU,1666472450
Selfoss,63.9331,-20.9971,38.05,78,100,5.01,IS,1666472451
Tazmalt,36.3868,4.3989,74.73,38,2,5.26,DZ,1666472451
Yagodnoye,62.55,149.6667,-8.43,99,92,3.6,RU,1666472452
Kholtoson,50.2981,103.3097,31.95,66,79,3.47,RU,1666472452
Lewiston,44.1003,-70.2148,63.32,65,0,1.99,US,1666472406
Bowen,-20.0167,148.2333,76.53,75,0,2.19,AU,1666472453
Gold Coast,-28.0,153.4333,67.24,99,100,16.11,AU,1666472453
Sala Consilina,40.3912,15.5989,58.68,77,69,1.72,IT,1666472454
Tahoua,14.8888,5.2692,83.61,16,1,9.19,NE,1666472454
Vanavara,60.34,102.2797,36.63,97,100,11.23,RU,1666472455
Sulphur,30.2366,-93.3774,80.8,62,100,19.57,US,1666472163
Ciudad del Maíz,22.4,-99.6,76.62,44,31,3.38,MX,1666472455
Kalengwa,-13.4659,25.0027,72.39,35,99,6.17,ZM,1666472456
Fredericksburg,38.3032,-77.4605,73.02,43,0,6.91,US,1666472407
Kahului,20.8947,-156.47,86.97,66,7,13.0,US,1666472335
Inta,66.0317,60.1659,28.04,86,98,15.5,RU,1666472456
Gigmoto,13.7796,124.39,81.48,85,100,9.19,PH,1666472457
San Jose,37.3394,-121.895,73.53,47,75,11.5,US,1666472387
Oriximiná,-1.7656,-55.8661,86.76,57,100,3.74,BR,1666472418
Buala,-8.145,159.5921,81.23,79,100,5.57,SB,1666472457
Yulara,-25.2406,130.9889,63.88,63,0,13.24,AU,1666472159
Suşehri,40.1644,38.0867,45.03,66,0,0.96,TR,1666472458
Los Llanos de Aridane,28.6585,-17.9182,69.55,87,100,3.44,ES,1666472459
Columbia,34.0007,-81.0348,74.71,34,4,4.97,US,1666472428
Kasane,-17.8167,25.15,74.98,34,4,5.46,BW,1666472459
Tawang Town,27.5833,91.8667,39.43,58,3,6.76,IN,1666472459
Salym,60.0625,71.4789,27.86,94,31,5.46,RU,1666472460
Nizhniy Tsasuchey,50.5167,115.1333,27.82,71,9,5.7,RU,1666472460
Sungai Penuh,-2.0833,101.3833,62.65,91,81,1.45,ID,1666472244
Le Marin,14.4721,-60.8697,85.91,70,20,8.05,MQ,1666472461
Tazovsky,67.4667,78.7,28.65,96,100,8.37,RU,1666472461
Ikryanoye,46.0932,47.7308,35.58,49,21,1.5,RU,1666472461
Otradnoye,59.7775,30.8181,42.85,89,24,6.38,RU,1666472462
Vincennes,48.85,2.4333,62.89,85,0,3.44,FR,1666472463
Machalí,-34.1833,-70.6667,78.75,27,32,8.59,CL,1666472464
Esperance,-33.8667,121.9,50.54,87,33,12.17,AU,1666472464
Malanje,-9.5402,16.341,67.5,76,85,0.22,AO,1666472464
Turbat,26.0023,63.044,78.75,47,0,4.59,PK,1666472466
San Juan Capistrano,33.5017,-117.6626,72.0,74,96,5.99,US,1666472182
Teguise,29.0605,-13.564,70.02,78,20,14.97,ES,1666472467
Bourail,-21.5667,165.4833,76.03,67,97,9.95,NC,1666472468
Uruçuí,-7.2294,-44.5561,85.55,43,100,2.19,BR,1666472469
Banda Aceh,5.5577,95.3222,79.7,76,100,10.85,ID,1666472264
Ayagoz,47.9714,80.4392,60.33,22,100,21.7,KZ,1666472470
Sørland,67.667,12.6934,40.86,65,100,27.6,NO,1666472471
Rabo de Peixe,37.8,-25.5833,63.91,87,20,10.36,PT,1666472471
Waitati,-45.75,170.5667,56.8,72,6,2.75,NZ,1666472472
Port-Gentil,-0.7193,8.7815,79.16,84,100,9.55,GA,1666472473
Bānswāra,23.55,74.45,70.34,46,0,5.97,IN,1666472474
Mbaïki,3.8678,17.9892,71.2,96,100,0.58,CF,1666472475
Qasigiannguit,68.8193,-51.1922,39.45,83,86,9.75,GL,1666472475
Fare,-16.7,-151.0167,78.98,75,8,16.04,PF,1666472475
Yeniseysk,58.4497,92.1703,45.18,91,100,7.85,RU,1666472476
Port Lincoln,-34.7333,135.8667,57.56,87,100,18.59,AU,1666472321
Adrar,20.5022,-10.0711,85.41,12,2,6.31,MR,1666472477
General Pico,-35.6566,-63.7568,70.38,15,0,7.38,AR,1666472477
Ambilobe,-13.2,49.05,70.05,85,4,2.89,MG,1666472478
Nantucket,41.2835,-70.0995,64.09,75,98,2.71,US,1666472221
Dubbo,-32.25,148.6167,62.37,92,78,4.14,AU,1666472479
Waipawa,-41.4122,175.5153,56.48,54,1,6.11,NZ,1666472479
Arti,56.4234,58.5328,28.29,75,100,11.3,RU,1666472480
Pacific Grove,36.6177,-121.9166,72.88,72,99,8.99,US,1666472409
Shar,49.5886,81.0453,56.73,36,100,25.08,KZ,1666472481
Gemeente Zeewolde,52.3333,5.4833,56.03,93,100,6.67,NL,1666472482
Bogovarovo,58.9785,47.0246,27.79,82,14,5.44,RU,1666472482
Mpulungu,-8.7623,31.1141,79.38,46,99,3.22,ZM,1666472483
Borazjan,29.2666,51.2159,79.97,43,0,2.37,IR,1666472483
Malbork,54.0359,19.0266,56.84,96,92,7.99,PL,1666472484
Vung Tau,10.346,107.0843,79.66,77,100,6.13,VN,1666472422
Ducheng,23.2373,111.5317,70.59,57,0,2.01,CN,1666472484
Swan Hill,-35.3378,143.5544,58.86,93,97,8.79,AU,1666472203
Praia da Vitória,38.7333,-27.0667,64.76,74,97,21.47,PT,1666472485
Codajás,-3.8367,-62.0569,77.25,95,100,6.51,BR,1666472486
Chincha Alta,-13.4099,-76.1323,68.9,67,21,6.89,PE,1666472486
Prince Rupert,54.3161,-130.3201,46.83,71,38,3.49,CA,1666472433
Athabasca,54.7169,-113.2854,39.61,89,100,3.98,CA,1666472382
Saint-Augustin,51.226,-58.6502,50.65,73,31,18.68,CA,1666472488
Kayerkan,69.3497,87.7602,25.56,93,93,12.82,RU,1666472488
Dargaville,-35.9333,173.8833,60.4,58,0,4.56,NZ,1666472488
Hede,33.7681,120.2517,57.6,73,10,8.16,CN,1666472489
Gladstone,-23.85,151.25,70.79,70,0,5.03,AU,1666472489
Libertador General San Martín,-23.8064,-64.7876,86.02,30,77,5.53,AR,1666472489
Muhafazat Lahij,13.1667,44.5833,75.94,73,12,5.14,YE,1666472490
Guasdualito,7.2424,-70.7324,91.4,58,33,5.75,VE,1666472459
Lufilufi,-13.8745,-171.5986,86.79,75,100,12.88,WS,1666472490
Narathiwat,6.3333,101.75,74.57,97,100,5.91,TH,1666472491
Santa Isabel,-23.3156,-46.2214,67.71,85,22,8.03,BR,1666472238
Taoudenni,22.6783,-3.9836,87.22,13,87,9.46,ML,1666472492
Te Anau,-45.4167,167.7167,51.66,80,33,7.65,NZ,1666472492
